"Longitude","Latitude","bio1","bio2","bio3","bio4","bio5","bio6","bio7","bio8","bio9","bio10","bio11","bio12","bio13","bio14","bio15","bio16","bio17","bio18","bio19"
-119.621514,36.69363,17.1916656494141,14.6499996185303,42.711368560791,734.3544921875,36.5,2.20000004768372,34.2999992370605,10.3166666030884,26.1833343505859,26.1833343505859,8.3333330154419,297,57,0,86.6973571777344,168,4,4,149
-82.456096,38.33549,12.4583330154419,13.2666664123535,36.8518524169922,866.402770996094,30.5,-5.5,36,20.8500003814697,13.4499998092651,22.8999996185303,1.45000016689301,1093,125,74,16.4660663604736,329,238,322,241
-78.520787,38.112641,13.2749996185303,12.9499998092651,36.7897720336914,837.847595214844,31,-4.19999980926514,35.2000007629395,21.533332824707,2.76666665077209,23.5,2.76666665077209,1123,117,75,14.5557098388672,325,233,314,233
-90.08337915,34.43792247,16.0416660308838,12.0833330154419,35.8555908203125,814.317443847656,32.5999984741211,-1.10000002384186,33.6999969482422,15.9666662216187,21.7666664123535,25.8333339691162,5.68333339691162,1393,145,77,21.0235443115234,422,245,296,374
-86.932651,34.306403,15.3666667938232,13.1166667938232,39.5080337524414,772.65576171875,31.8999996185303,-1.29999995231628,33.2000007629395,7.23333358764648,20.9166660308838,24.716667175293,5.61666679382324,1475,168,87,18.2129802703857,434,291,316,412
-83.774627,36.072265,13.8083333969116,13.7666664123535,39.6733894348145,813.421020507812,31.1000003814697,-3.59999990463257,34.7000007629395,21.6499996185303,14.6000003814697,23.6666660308838,3.58333325386047,1208,122,72,14.0194654464722,338,249,322,303
-82.678635,36.902334,12.1374998092651,12.8416662216187,37.9930953979492,804.894470214844,29.1000003814697,-4.69999980926514,33.7999992370605,19.9166660308838,12.9833326339722,21.8500003814697,1.94999992847443,1138,114,76,11.2898664474487,324,250,309,268
-82.530223,40.35827,9.74166679382324,11.8166666030884,31.9369373321533,939.315124511719,28.3999996185303,-8.60000038146973,37,18.7999992370605,-2.31666684150696,20.9166660308838,-2.31666684150696,1013,110,57,20.8021507263184,318,191,308,191
-94.762925,34.67088667,16.0041675567627,13.408332824707,37.4534454345703,820.87939453125,33.5999984741211,-2.20000004768372,35.7999992370605,15.7666664123535,5.56666660308838,25.8833332061768,5.56666660308838,1293,173,66,24.95920753479,413,243,290,243
-95.41165333,35.69611667,15.6875,12.6416664123535,33.9829750061035,892.000122070312,33.7999992370605,-3.40000009536743,37.2000007629395,20.1666660308838,4.2999997138977,26.4166660308838,4.2999997138977,1094,136,48,30.6596851348877,354,177,255,177
