Species		-	Copia	Gypsy	Harbinger	Helitron	L1	MSAT	MuDR	RTE	SAT	SINE2/tRNA	hAT	unclassified
4_Transposome/Sorghum_halepense-JG_CO_150_C	0.00126349436817818	0.0791444608357325	0.437366533258075	0.0140072461432723	0.00249883244997337	0.00370402756003442	6.49512577783957e-05	0.00532635515246685	8.38513536587392e-05	0.000954047381467214	0.000145917957170488	0.00433955086339476	0.0329458512944258	
4_Transposome/Sorghum_halepense-JG_CO_150_D	0.00145191756217091	0.0787125719581822	0.44450102188957	0.0140242618624504	0.00258816410964565	0.00377053773697693	4.90929379872111e-05	0.00530777454715199	6.46358629343823e-05	0.000879861872152457	0.000131368902442663	0.00446072465636675	0.0335526990270452	
4_Transposome/Sorghum_halepense-JG_CO_150_E	0.00168833960854827	0.0806639630029278	0.444757146877594	0.0143276351032052	0.00259967440608013	0.00390630553617245	5.65397625062203e-05	0.00575637569564179	7.46195614468051e-05	0.000946468812917228	0.00016232276048731	0.00470752976271966	0.0334273449912045	
4_Transposome/Sorghum_halepense-JG_CO_150_H	0.00136182102572491	0.0880736366790021	0.451940572949293	0.0122142143703072	0.00250090828388575	0.00363983684669026	5.97354265443651e-05	0.00533761563618316	9.78241218349739e-05	0.000950378208162986	0.000120463753159087	0.00408883831392059	0.0362168075881303	
4_Transposome/Sorghum_halepense-JG_CO_150_I	0.00140462208281894	0.0872357274560455	0.43023132306064	0.0121662907867634	0.00267079183791795	0.00373573426035442	5.73918956879582e-05	0.0051899566739754	0.000105597087966087	0.000508878015191925	0.000128449929197448	0.00404885558009962	0.0365592445106171	
4_Transposome/Sorghum_halepense-JG_CO_188_B	0.000997635729233189	0.111123745284244	0.507277406730879	0.0115729531748095	0.00261101158280145	0.00365493721838416	4.70696486238794e-05	0.00589048894742614	9.21850280425181e-05	0.000510331859767061	0.000117317378743535	0.00424109452485645	0.0490981228972238	
4_Transposome/Sorghum_halepense-JG_CO_188_C	0.00129997785422391	0.0816541624033196	0.439438332334901	0.0153057439507395	0.00280741041044014	0.00361819270995173	5.30481162129658e-05	0.00555153062426886	9.20265294233012e-05	0.000838471364246297	0.000120565067472115	0.00475934857812328	0.0363468900611227	
4_Transposome/Sorghum_halepense-JG_CO_188_D	0.00116643899561676	0.090456946603836	0.477056305575211	0.0167469382323853	0.00269485933855097	0.00398345147255182	4.04849798574305e-05	0.00601950855771601	7.19095449999532e-05	0.00131738367461758	0.000141665315317427	0.00506649993567345	0.0338192493628775	
4_Transposome/Sorghum_halepense-JG_CO_194_A	0.00135672455212159	0.0776246008926262	0.443219483740796	0.0166307306654939	0.00265226924843326	0.00387216536290784	4.84103199871939e-05	0.0056449979744238	7.33948590124908e-05	0.00126741354690279	0.000124117123216767	0.00483160701859749	0.0352555607507965	
4_Transposome/Sorghum_halepense-JG_CO_194_B	0.0017431474871783	0.0770087108263773	0.432367423324489	0.0162640318514129	0.0024213038656234	0.00383875511110739	5.44683511807691e-05	0.0055201528559414	7.58175965587731e-05	0.00146371722347336	0.000146679285436426	0.00465570734467489	0.0312769823185634	
4_Transposome/Sorghum_halepense-JG_CO_194_C	0.00174323166201612	0.0829253969915145	0.452296379750502	0.0157274712894799	0.00250790435652229	0.00409742405623256	4.03218822469644e-05	0.00576791427215609	7.70758601368963e-05	0.000996301284838137	0.000113505069790611	0.0047522264832252	0.033874584622106	
4_Transposome/Sorghum_halepense-JG_CO_194_F	0.00139057566980509	0.0896888190460297	0.455817964645343	0.0142276098762412	0.00256364968687082	0.00384069718102105	5.2225547542115e-05	0.00543206545945141	9.57301505442184e-05	0.00126368138885325	0.000149030778131947	0.0046029720527553	0.0332947492846621	
4_Transposome/Sorghum_halepense-JG_CO_194_G	0.00176470807744202	0.0915686566880016	0.492634750588183	0.0164379099760058	0.00279119275164476	0.00412465894544438	4.77288479476601e-05	0.00638335144879113	9.03625990254282e-05	0.00138790669569935	0.000135383635199891	0.0049863704813219	0.0350825749543631	
4_Transposome/Sorghum_halepense-JG_CO_194_I	0.00154144862549818	0.0896642446528795	0.482228080171187	0.0168897225122748	0.00255794891673747	0.0040737421846202	4.01994531438642e-05	0.00596258541798714	8.22096889218136e-05	0.00139622145450999	0.000132545015297627	0.00512936534971465	0.0352758502835251	
4_Transposome/Sorghum_halepense-JG_CO_197_A	0.00162862145437083	0.0913304028916242	0.49796394538407	0.0203332034409002	0.00277222266198729	0.00444926140747735	4.70066948205922e-05	0.00687388929999423	7.38092812159798e-05	0.00187663657412045	0.000147009013899174	0.00554522116190103	0.0442406707306025	
4_Transposome/Sorghum_halepense-JG_CO_197_B	0.00138428492658986	0.0864317823417552	0.461574514133761	0.0173912546616932	0.00259412118655004	0.00398672331854497	5.94577462733189e-05	0.00573881444707609	6.47701981421701e-05	0.00144381418241565	0.000127820711457114	0.00513518822489302	0.0349169729944891	
4_Transposome/Sorghum_halepense-JG_CO_197_C	0.00125991863817178	0.0894824649604582	0.472447257420481	0.0165608064595657	0.00265312407998926	0.00418100069278887	5.43492911974532e-05	0.0060095844441457	8.82126225096299e-05	0.00128015175205212	0.000164498106988726	0.00497456601683356	0.0353602645096854	
4_Transposome/Sorghum_halepense-JG_CO_197_D	0.00120778198917367	0.0871914085522872	0.461027308044924	0.0165042969046755	0.00242664798252311	0.00388964132727349	5.29633827522133e-05	0.00555589968243068	8.29099252048198e-05	0.00126558851063065	0.000143964681563251	0.0048170386201096	0.0339967256443738	
4_Transposome/Sorghum_halepense-JG_CO_197_E	0.00120738797962071	0.0865929357982392	0.458418732651026	0.0160787676236018	0.00244357079114337	0.00402393172796588	5.86530509472959e-05	0.00566177424929108	7.94874178490055e-05	0.00160006353883378	0.000141955609309426	0.00456534598065024	0.0365927935789822	
4_Transposome/Sorghum_halepense-JG_CO_197_F	0.0016262405919165	0.0851107922964108	0.455361126077896	0.0163332425116192	0.00242375894899593	0.00406380068163187	3.84245083715578e-05	0.00594870697186863	7.99257141599386e-05	0.00158742205734986	0.000147901039612606	0.00482962170005597	0.0329233368999465	
4_Transposome/Sorghum_halepense-JG_CO_197_G	0.00129950450867224	0.0840318004819261	0.447167837943659	0.0175661683320663	0.0025939544314676	0.00395830064538518	5.56767956773396e-05	0.00623178586373141	7.85934389940626e-05	0.00160699007533333	0.000152183435851851	0.00516139467257309	0.0347055093761342	
4_Transposome/Sorghum_halepense-JG_CO_197_H	0.00136123176062993	0.0780542725095557	0.421645468908287	0.0160374294717155	0.00230034333379475	0.00373709219789479	5.87274756094857e-05	0.00554419021857307	6.69779914071866e-05	0.00142639373334285	0.000145793148530617	0.00470707428114883	0.0331280782090802	
4_Transposome/Sorghum_halepense-JG_CO_197_I	0.00135377530846043	0.0837210491340722	0.438744250809592	0.0166919075793469	0.00243036527790392	0.00394079386517892	6.1067513816073e-05	0.00577777426397863	7.24343768913436e-05	0.00204251294789489	0.000131757224352707	0.00486821528953509	0.0329984964071328	
4_Transposome/Sorghum_halepense-JG_CO_199_A	0.00157649866831284	0.0937492270447663	0.488119680905054	0.0190012698055677	0.00271777845348696	0.00448875747629571	5.57770430720997e-05	0.00625184563240863	8.20683454348217e-05	0.00103769655808944	0.000147458955109466	0.00532209529297606	0.0385341458200926	
4_Transposome/Sorghum_halepense-JG_CO_199_B	0.00124422001463466	0.0882612375029329	0.456262833345582	0.0173255063602665	0.00256306608941269	0.00416999076139905	4.20011671925494e-05	0.00613669927019532	7.20315930427205e-05	0.00187292969374036	0.000134884100731802	0.00497848150548749	0.0330331444637247	
4_Transposome/Sorghum_halepense-JG_CO_199_C	0.00273462253696912	0.10379173299816	0.565799559725726	0.0281748767877779	0.00336324618971385	0.00411708140142418	7.11503961121469e-05	0.00690934049031776	4.92166331732697e-05	0.00108814960263817	7.46481342805493e-05	0.00618990097223437	0.0584216005874132	
4_Transposome/Sorghum_halepense-JG_CO_199_D	0.00110343870103841	0.0824163569206202	0.439543143153166	0.0157195728896832	0.00232466528355558	0.00374766027356151	5.74850209485565e-05	0.00566705295516065	8.181587216016e-05	0.00100108264331865	0.000147238808013146	0.00462530125033873	0.0335410084827663	
4_Transposome/Sorghum_halepense-JG_CO_199_E	0.00111090431930059	0.0909155005384316	0.459576502431419	0.0130029995276474	0.00223187379219343	0.00404406376115219	4.84175813260496e-05	0.00554248950414252	8.40371917703168e-05	0.000963980459513528	0.000156295239036856	0.00420988104141982	0.0322882204914156	
4_Transposome/Sorghum_halepense-JG_CO_204_A	0.00114222125918037	0.0942155036866686	0.500152383233866	0.0168927784855215	0.0025565027825632	0.00427539933886223	5.15356292142501e-05	0.00625613269392074	6.52374886348982e-05	0.00135670847089171	0.000159398711957765	0.00498396766388731	0.0371219325339711	
4_Transposome/Sorghum_halepense-JG_CO_204_B	0.00157355534201485	0.0932914916437088	0.501375926918964	0.0176713311524517	0.0027620117814014	0.00408375654077929	5.67781956951231e-05	0.00650843603983061	7.56567125638069e-05	0.00151748677243999	0.000118113040778062	0.0051460507130059	0.0361811451350015	
