Species	-	Copia	Gypsy	Harbinger	Helitron	L1	MSAT	MuDR	RTE	SAT	SINE2/tRNA	hAT	unclassified
4_Transposome/JG_CO_102_E	0.00105936044488943	0.0927608614267874	0.44664308820278	0.0110514854086808	0.00229179177173268	0.0038899722696906	4.50755599235765e-05	0.00522900583453376	8.45352543227495e-05	0.000985032041564079	0.000132351348018762	0.00399609850848867	0.0343721095495454
4_Transposome/JG_CO_102_F	0.00144189089219821	0.0848437688983697	0.465956973093033	0.0164623770184571	0.00267168970131742	0.00419972764566189	5.53827454903042e-05	0.00632017115880439	8.02266990887565e-05	0.00117884299162855	0.000141217768368689	0.00490126558171947	0.0308696150586301
4_Transposome/JG_CO_104_A	0.00129049724445219	0.0878523320112962	0.422623020489649	0.0113801256721016	0.00231721642884692	0.00372902103443161	4.46624622770891e-05	0.00492028811787733	7.33430674941415e-05	0.000106179047527596	0.000138901587901879	0.00385252164984926	0.0329444782121362
4_Transposome/JG_CO_104_B	0.00125680025255764	0.0899695189026678	0.430979382240505	0.0107259824889925	0.00220983136027694	0.00375645367033636	5.20010243647622e-05	0.00505603083014531	6.96725285687919e-05	0.000574793741523089	0.000140747110870434	0.00368417170152193	0.0340173141472836
4_Transposome/JG_CO_104_C	0.00149650181922423	0.0895020463529947	0.430734762616089	0.010605713640233	0.0023306826785191	0.00367651656166459	4.50071230365266e-05	0.00517208043562409	9.29021831265683e-05	0.0013613150589268	0.000129986635275012	0.00394137758072289	0.0335760358621931
4_Transposome/JG_CO_104_D	0.000929868648692977	0.0910454375384706	0.432729997889298	0.0108447429499957	0.00221759463278749	0.00371736412641032	5.32644009685435e-05	0.00502198775690719	9.26113892346115e-05	0.000907929702302291	0.000136698064533584	0.00382253144694723	0.0347490430186026
4_Transposome/JG_CO_104_E	0.000992946135258372	0.0858753668023324	0.420769587671202	0.0117763636245653	0.00229765097938363	0.00373694715501134	5.36281165397183e-05	0.00506565568681498	8.57995295904582e-05	0.00144385060629379	0.00014262685293493	0.0040074747008523	0.0326354021393458
4_Transposome/JG_CO_106_A	0.000914944701631499	0.0899664283426255	0.438901369955971	0.0117081814982198	0.00223752126475819	0.0037327628803233	5.04687844096595e-05	0.00516369818306675	9.00055123993921e-05	0.00103197926714761	0.000137284728135277	0.00397474768574217	0.03255709654224
4_Transposome/JG_CO_106_B	0.00108980327351519	0.0875991097363621	0.443312566112227	0.0120732644122769	0.00231990709373131	0.00375951167325465	5.57736888837848e-05	0.00540749069886302	8.09808969522896e-05	0.00103860591500513	0.000120874431556159	0.00409931108902545	0.0320826341391711
4_Transposome/JG_CO_106_D	0.00104450444786087	0.0855873124878748	0.430397317425627	0.0115222919001823	0.00228789077391233	0.00360504784801704	5.1142919432308e-05	0.00503884830850401	7.63820586966684e-05	0.000916733313493803	0.000122991649545031	0.00396488273394186	0.0321102515867783
