Species	-	Copia	Gypsy	Harbinger	Helitron	L1	MSAT	MuDR	RTE	SAT	SINE2/tRNA	hAT	unclassified
4_Transposome/JG_CO_054_E	0.00017831417451628	0.00223248885827456	0.00443616429299192	0.000726103428883293	0.000335208302886013	0.000448031499954911	3.17721581876218e-05	0.000532196849365756	7.2589142041268e-05	0.000201785624687741	8.60970791436803e-05	0.000461789808871865	0.00194527259072487
4_Transposome/JG_CO_054_F	0.000340794747604755	0.00337649387163314	0.00427578991945231	0.00120289064158221	0.000532408625453547	0.000742643220698374	1.61517882860873e-05	0.000887286759081994	7.37803179095512e-05	0.000282299492661459	0.000106766806629605	0.000799503897491551	0.00262438931526631
4_Transposome/JG_CO_054_G	0.000229450149468261	0.00310662815727246	0.00729492048900546	0.00084333187569499	0.00034568988443017	0.000549186696089575	2.87792194116861e-05	0.000577618835424645	6.5747496277974e-05	0.00017829901757268	8.43709983707275e-05	0.000551406958584536	0.00206110318229877
4_Transposome/JG_CO_054_H	0.000279472402302516	0.00258173959699167	0.00573977956772352	0.000706334090527235	0.000374502635806247	0.00043653578592609	2.94109139672014e-05	0.000422229003205256	6.02204882378379e-05	0.000210047927337175	7.44456548998962e-05	0.000495809721956579	0.00134202231511701
4_Transposome/JG_CO_054_I	0.000201806389855888	0.00283981169711049	0.0110436381852504	0.000882338777119586	0.000344710301570737	0.000449519863247538	3.50948576754208e-05	0.000471514203804429	5.11956320252758e-05	0.000200698640635401	7.28902117921909e-05	0.00047683630385317	0.00225784564268606
4_Transposome/JG_CO_054_J	0.000203416920119212	0.00274540836374392	0.00896826436100218	0.000734135926679904	0.000357853815978281	0.000466735462181132	3.53453467639596e-05	0.000530617080745922	4.60140595222735e-05	0.000205293891849771	7.0812050932146e-05	0.000652749595822592	0.00198310748286083
4_Transposome/JG_CO_054_K	0.000267129060242582	0.00197657509194036	0.00583650826253523	0.00081482195107249	0.000341624828943645	0.000461703586510437	3.1566413841319e-05	0.00060917994513066	5.5321879569764e-05	0.000220665635608362	7.6204469659159e-05	0.000445286404902013	0.00185309436335826
4_Transposome/JG_CO_055_A	0.000255291893653584	0.00207650798765754	0.00493063015062061	0.000677530402475321	0.000373190850312956	0.000411442742284721	3.07697183103657e-05	0.000458228970703135	4.9144895295144e-05	0.000225789196483223	7.80006040297015e-05	0.000404594076498529	0.00212612235392889
4_Transposome/JG_CO_055_B	0.000228239653098881	0.00231535788423688	0.00419595639876755	0.000718300829752148	0.000363013215527535	0.000447227767926678	2.95907650379066e-05	0.000582984252696901	5.31849554912213e-05	0.000237657810489489	6.84331189450787e-05	0.000410288381589818	0.00149938706379646
4_Transposome/JG_CO_055_C	0.000470686082493701	0.00223011332839423	0.0039581338757347	0.00121445195431984	0.000384320452921451	0.000709931578494317	2.80440922015044e-05	0.000712860680372812	7.54728438091337e-05	0.000265439308369736	8.02784022215923e-05	0.000541424734042315	0.00209428206979162
4_Transposome/JG_CO_055_D	0.00026161379682917	0.0029229087959006	0.00435533685150957	0.000694952357318793	0.000400771327069424	0.000491357357799276	3.09302371973731e-05	0.000661860624850005	5.42915291398745e-05	0.000257361509545289	7.41546508654599e-05	0.000621872553621831	0.00116034118485749
4_Transposome/JG_CO_055_E	0.000277124283379175	0.00223412059394436	0.00419995879635534	0.000775779309493229	0.000326710464422214	0.000433000150353955	2.69388303983604e-05	0.000638877026617571	5.22144343963716e-05	0.000240354538672818	5.85813260935636e-05	0.000363164772337684	0.00149887559889015
